trip_id,1063,1128,1376B,1716,1718B,1719,1720B,1726,1731,1751,1754,1756B,1757,1758B,1760,1779,2050,2177,2212,2290B,2291B,2301,2303,2351,2397,2578,2595,2928,2963,2964B,2967B,3506,3508,3510B,3514,3517,3518B,3525,3558,3559,3562B,3567,3570,3572,4306,4307,4362,4363,4369,5407,5611,5612,6353,6443
113422584238072001,,,,,,,,,,,,,,,,,,24:23:00,,,,,,24:14:00,,,,,24:19:06,24:20:01,24:21:00,,,,,,,24:12:29,24:09:00,24:12:00,24:14:43,24:27:04,24:15:42,24:17:00,,,,,,,,24:17:47,24:24:56,24:30:00
113422586238072001,,,,,,,,,,,,,,,,,,24:38:00,,,,,,24:29:00,,,,,24:34:06,24:35:01,24:36:00,,,,,,,24:27:29,24:24:00,24:27:00,24:29:43,24:42:04,24:30:42,24:32:00,,,,,,,,24:32:47,24:39:56,24:45:00
113422590238072001,,,,,,,,,,24:53:32,24:51:27,24:54:37,24:55:40,24:57:22,24:59:17,25:00:14,24:51:00,25:18:00,,24:58:00,,,,25:09:00,,,,,25:14:06,25:15:01,25:16:00,,,,,,,25:07:29,25:05:22,25:07:00,25:09:43,25:22:04,25:10:42,25:12:00,25:03:00,25:04:32,,,,,,25:12:47,25:19:56,25:25:00
113422591238072001,,,,,,,,,,25:13:32,25:11:27,25:14:37,25:15:40,25:17:22,25:19:17,25:20:14,25:11:00,25:38:00,,25:18:00,,,,25:29:00,,,,,25:34:06,25:35:01,25:36:00,,,,,,,25:27:29,25:25:22,25:27:00,25:29:43,25:42:04,25:30:42,25:32:00,25:23:00,25:24:32,,,,,,25:32:47,25:39:56,25:45:00
113422594238072001,24:58:24,25:02:00,25:00:44,25:26:31,25:28:58,25:30:16,25:31:52,25:05:28,25:32:50,,,,,,,,25:35:00,,24:54:00,,25:28:00,24:51:17,24:53:00,,25:16:00,24:56:00,24:52:00,25:09:47,,,,25:08:55,25:12:00,25:14:44,25:20:05,25:13:10,25:08:00,,,,,,,,,,25:20:57,25:23:00,25:25:42,25:18:00,25:11:00,,,24:50:00
113422595238072001,,,,,,,,,,25:53:32,25:51:27,25:54:37,25:55:40,25:57:22,25:59:17,26:00:14,25:51:00,26:18:00,,25:58:00,,,,26:09:00,,,,,26:14:06,26:15:01,26:16:00,,,,,,,26:07:29,26:05:22,26:07:00,26:09:43,26:22:04,26:10:42,26:12:00,26:03:00,26:04:32,,,,,,26:12:47,26:19:56,26:25:00
113422601238072001,,,,,,,,,,25:33:32,25:31:27,25:34:37,25:35:40,25:37:22,25:39:17,25:40:14,25:31:00,25:58:00,,25:38:00,,,,25:49:00,,,,,25:54:06,25:55:01,25:56:00,,,,,,,25:47:29,25:45:22,25:47:00,25:49:43,26:02:04,25:50:42,25:52:00,25:43:00,25:44:32,,,,,,25:52:47,25:59:56,26:05:00
113422608238072001,26:18:24,26:22:00,26:20:44,26:46:31,26:48:58,26:50:16,26:51:52,26:25:28,26:52:50,,,,,,,,26:55:00,,26:14:00,,26:48:00,26:11:17,26:13:00,,26:36:00,26:16:00,26:12:00,26:29:47,,,,26:28:55,26:32:00,26:34:44,26:40:05,26:33:10,26:28:00,,,,,,,,,,26:40:57,26:43:00,26:45:42,26:38:00,26:31:00,,,26:10:00
113422610238072001,26:38:24,26:42:00,26:40:44,27:06:31,27:08:58,27:10:16,27:11:52,26:45:28,27:12:50,,,,,,,,27:15:00,,26:34:00,,27:08:00,26:31:17,26:33:00,,26:56:00,26:36:00,26:32:00,26:49:47,,,,26:48:55,26:52:00,26:54:44,27:00:05,26:53:10,26:48:00,,,,,,,,,,27:00:57,27:03:00,27:05:42,26:58:00,26:51:00,,,26:30:00
113422612238072001,26:58:24,27:02:00,27:00:44,27:26:31,27:28:58,27:30:16,27:31:52,27:05:28,27:32:50,,,,,,,,27:35:00,,26:54:00,,27:28:00,26:51:17,26:53:00,,27:16:00,26:56:00,26:52:00,27:09:47,,,,27:08:55,27:12:00,27:14:44,27:20:05,27:13:10,27:08:00,,,,,,,,,,27:20:57,27:23:00,27:25:42,27:18:00,27:11:00,,,26:50:00
113422616238072001,,,,,,,,,,24:33:32,24:31:27,24:34:37,24:35:40,24:37:22,24:39:17,24:40:14,24:31:00,24:58:00,,24:38:00,,,,24:49:00,,,,,24:54:06,24:55:01,24:56:00,,,,,,,24:47:29,24:45:22,24:47:00,24:49:43,25:02:04,24:50:42,24:52:00,24:43:00,24:44:32,,,,,,24:52:47,24:59:56,25:05:00
113422622238072001,25:58:24,26:02:00,26:00:44,26:26:31,26:28:58,26:30:16,26:31:52,26:05:28,26:32:50,,,,,,,,26:35:00,,25:54:00,,26:28:00,25:51:17,25:53:00,,26:16:00,25:56:00,25:52:00,26:09:47,,,,26:08:55,26:12:00,26:14:44,26:20:05,26:13:10,26:08:00,,,,,,,,,,26:20:57,26:23:00,26:25:42,26:18:00,26:11:00,,,25:50:00
113422625238072001,25:18:24,25:22:00,25:20:44,25:46:31,25:48:58,25:50:16,25:51:52,25:25:28,25:52:50,,,,,,,,25:55:00,,25:14:00,,25:48:00,25:11:17,25:13:00,,25:36:00,25:16:00,25:12:00,25:29:47,,,,25:28:55,25:32:00,25:34:44,25:40:05,25:33:10,25:28:00,,,,,,,,,,25:40:57,25:43:00,25:45:42,25:38:00,25:31:00,,,25:10:00
113422626238072001,,,,,,,,,,26:13:32,26:11:27,26:14:37,26:15:40,26:17:22,26:19:17,26:20:14,26:11:00,26:38:00,,26:18:00,,,,26:29:00,,,,,26:34:06,26:35:01,26:36:00,,,,,,,26:27:29,26:25:22,26:27:00,26:29:43,26:42:04,26:30:42,26:32:00,26:23:00,26:24:32,,,,,,26:32:47,26:39:56,26:45:00
113422629238072001,25:38:24,25:42:00,25:40:44,26:06:31,26:08:58,26:10:16,26:11:52,25:45:28,26:12:50,,,,,,,,26:15:00,,25:34:00,,26:08:00,25:31:17,25:33:00,,25:56:00,25:36:00,25:32:00,25:49:47,,,,25:48:55,25:52:00,25:54:44,26:00:05,25:53:10,25:48:00,,,,,,,,,,26:00:57,26:03:00,26:05:42,25:58:00,25:51:00,,,25:30:00
